repeticiones filas area tiempo iteraciones
2 7421 55071241 4.1680 27527925
3 7421 55071241 4.0460 27527897
4 7421 55071241 4.1570 27527899
5 7421 55071241 4.1120 27527829
1 7471 55815841 4.4270 27900195
2 7471 55815841 4.1050 27900163
3 7471 55815841 4.1280 27900141
4 7471 55815841 4.0580 27900065
5 7471 55815841 4.1570 27900187
1 7521 56565441 4.2310 28274915
2 7521 56565441 4.2440 28274939
3 7521 56565441 4.3150 28274881
4 7521 56565441 4.1970 28274791
5 7521 56565441 4.2130 28274937
1 7571 57320041 4.3300 28652175
2 7571 57320041 4.3370 28652189
3 7571 57320041 4.3520 28652133
4 7571 57320041 4.3270 28652163
5 7571 57320041 4.2510 28652105
1 7621 58079641 4.3610 29031939
2 7621 58079641 4.3330 29031841
3 7621 58079641 4.3020 29031929
4 7621 58079641 4.2790 29031935
5 7621 58079641 4.3190 29031849
1 7671 58844241 4.3070 29414055
2 7671 58844241 4.3290 29414179
3 7671 58844241 4.4190 29414161
4 7671 58844241 4.3790 29414113
5 7671 58844241 4.3600 29414105
1 7721 59613841 4.4080 29798949
2 7721 59613841 4.4840 29798823
3 7721 59613841 4.7280 29798911
4 7721 59613841 4.4160 29798937
5 7721 59613841 4.4640 29798857
1 7771 60388441 4.4730 30186155
2 7771 60388441 4.4890 30186167
3 7771 60388441 4.5120 30186093
4 7771 60388441 4.5150 30186099
5 7771 60388441 4.5900 30186107
1 7821 61168041 4.6420 30575857
2 7821 61168041 4.4980 30575901
3 7821 61168041 4.6470 30575855
4 7821 61168041 4.5970 30575913
5 7821 61168041 4.7060 30575839
1 7871 61952641 4.7120 30968149
2 7871 61952641 4.6020 30968167
3 7871 61952641 4.6000 30968131
4 7871 61952641 4.6220 30968153
5 7871 61952641 4.7470 30968079
